iter	Passed	Remaining
0	1	153
1	3	188
2	5	181
3	6	165
4	8	161
5	9	154
6	11	149
7	12	142
8	13	138
9	15	135
10	16	136
11	18	138
12	20	137
13	22	135
14	23	131
15	24	127
16	25	124
17	27	123
18	29	125
19	32	129
20	34	129
21	36	129
22	37	126
23	39	123
24	40	121
25	41	118
26	42	116
27	44	113
28	46	113
29	48	113
30	49	110
31	50	108
32	52	106
33	53	103
34	55	102
35	56	101
36	58	99
37	60	98
38	62	98
39	64	96
40	65	94
41	66	91
42	67	89
43	69	88
44	70	86
45	71	84
46	73	82
47	75	81
48	77	80
49	78	78
50	79	76
51	80	74
52	82	72
53	83	70
54	84	68
55	85	67
56	87	65
57	89	64
58	91	63
59	93	62
60	94	60
61	95	58
62	96	56
63	98	55
64	99	53
65	100	51
66	102	50
67	104	48
68	105	47
69	106	45
70	107	44
71	108	42
72	110	40
73	111	39
74	112	37
75	114	36
76	116	34
77	118	33
78	120	32
79	121	30
80	123	28
81	124	27
82	125	25
83	126	24
84	128	22
85	130	21
86	132	19
87	134	18
88	135	16
89	136	15
90	137	13
91	138	12
92	139	10
93	140	8
94	141	7
95	143	5
96	146	4
97	148	3
98	150	1
99	151	0
