iter	Passed	Remaining
0	161	161273
1	169	84401
2	171	56979
3	174	43333
4	175	35014
5	182	30236
6	184	26205
7	186	23184
8	188	20767
9	190	18820
10	196	17657
11	199	16388
12	201	15269
13	202	14284
14	204	13417
15	208	12803
16	211	12213
17	213	11637
18	215	11125
19	219	10768
20	222	10391
21	224	9999
22	226	9632
23	228	9294
24	230	8970
25	234	8789
26	237	8573
27	239	8325
28	241	8098
29	243	7870
30	246	7711
31	249	7539
32	252	7393
33	254	7228
34	256	7077
35	261	7009
36	264	6888
37	266	6745
38	268	6627
39	273	6553
40	277	6480
41	279	6365
42	287	6396
43	290	6304
44	292	6198
45	294	6110
46	304	6183
47	306	6088
48	314	6112
49	318	6051
50	320	5960
51	322	5888
52	326	5825
53	330	5786
54	333	5730
55	336	5666
56	343	5674
57	348	5653
58	349	5578
59	352	5526
60	356	5486
61	360	5450
62	364	5415
63	367	5376
64	372	5357
65	376	5329
66	379	5290
67	385	5283
68	390	5263
69	393	5232
70	398	5211
71	402	5187
72	406	5166
73	408	5117
74	413	5096
75	420	5116
76	423	5072
77	429	5082
78	432	5046
79	434	5002
80	436	4957
81	438	4912
82	441	4872
83	443	4839
84	445	4800
85	448	4766
86	450	4732
87	455	4722
88	459	4707
89	462	4673
90	464	4638
91	470	4640
92	473	4621
93	477	4597
94	479	4564
95	485	4567
96	487	4537
97	489	4507
98	491	4473
99	493	4437
100	497	4430
101	500	4408
102	502	4378
103	504	4347
104	506	4313
105	507	4282
106	512	4273
107	515	4253
108	517	4227
109	519	4200
110	520	4171
111	523	4147
112	527	4139
113	530	4124
114	532	4099
115	534	4073
116	535	4044
117	541	4050
118	545	4035
119	547	4012
120	548	3986
121	550	3958
122	555	3958
123	558	3947
124	560	3925
125	562	3904
126	564	3880
127	570	3886
128	574	3876
129	576	3855
130	577	3831
131	579	3810
132	585	3814
133	589	3807
134	591	3788
135	594	3774
136	599	3775
137	603	3771
138	606	3756
139	611	3757
140	615	3750
141	617	3731
142	620	3716
143	622	3701
144	633	3732
145	635	3717
146	637	3698
147	642	3698
148	645	3684
149	648	3675
150	650	3658
151	654	3652
152	657	3641
153	661	3633
154	663	3619
155	667	3612
156	671	3607
157	674	3593
158	677	3584
159	679	3568
160	683	3559
161	686	3551
162	689	3542
163	691	3525
164	693	3507
165	698	3510
166	702	3502
167	704	3487
168	706	3473
169	710	3471
170	715	3468
171	717	3452
172	720	3443
173	723	3432
174	727	3431
175	729	3416
176	732	3406
177	734	3390
178	735	3375
179	741	3376
180	743	3365
181	745	3351
182	747	3336
183	750	3328
184	753	3321
185	757	3316
186	759	3302
187	762	3295
188	765	3284
189	772	3291
190	775	3285
191	777	3273
192	780	3263
193	783	3254
194	786	3248
195	788	3236
196	792	3231
197	800	3241
198	802	3231
199	806	3227
200	809	3216
201	814	3217
202	817	3208
203	820	3201
204	823	3194
205	827	3190
206	831	3186
207	834	3179
208	837	3171
209	843	3174
210	846	3164
211	849	3158
212	851	3147
213	856	3144
214	859	3139
215	862	3130
216	864	3119
217	867	3112
218	870	3104
219	872	3095
220	874	3083
221	878	3077
222	880	3066
223	885	3068
224	887	3058
225	890	3050
226	892	3038
227	896	3036
228	899	3026
229	901	3019
230	903	3008
231	906	3001
232	913	3006
233	915	2996
234	917	2985
235	919	2978
236	921	2966
237	928	2971
238	930	2963
239	933	2955
240	935	2944
241	940	2945
242	943	2937
243	945	2928
244	947	2918
245	950	2912
246	953	2907
247	956	2899
248	958	2889
249	961	2884
250	963	2875
251	967	2871
252	969	2863
253	972	2855
254	974	2847
255	976	2838
256	980	2834
257	983	2829
258	986	2821
259	989	2815
260	991	2807
261	996	2807
262	999	2800
263	1004	2799
264	1006	2790
265	1010	2788
266	1015	2787
267	1017	2779
268	1026	2788
269	1029	2782
270	1032	2777
271	1034	2769
272	1040	2769
273	1043	2765
274	1046	2759
275	1053	2762
276	1058	2762
277	1065	2767
278	1071	2769
279	1075	2766
280	1081	2768
281	1085	2763
282	1097	2780
283	1100	2773
284	1102	2766
285	1108	2766
286	1112	2763
287	1115	2757
288	1121	2759
289	1125	2756
290	1128	2749
291	1142	2769
292	1145	2764
293	1148	2758
294	1154	2758
295	1158	2756
296	1161	2749
297	1167	2750
298	1173	2750
299	1180	2753
300	1185	2753
301	1189	2749
302	1197	2754
303	1202	2753
304	1205	2747
305	1215	2755
306	1220	2754
307	1228	2759
308	1231	2754
309	1236	2752
310	1241	2751
311	1246	2748
312	1249	2743
313	1256	2745
